,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
1294,grato pela presteza no atendimento,obrig prestat,acredit que a manutença realiz nao resolv o problem,estou com dificuldad par realiz a manutença predit com po melhor isso,oi alguem pode explicar fazer
1295,grato presteza atendimento,agradeço de coraçao,acredit manutença realiz nao resolv problem,estou com dificuldad par realiz a manutenc predit com poss melhor isso,oi algu pod me explic com faz isso
1296,grat pel prestez no atend,agradeço coraçao,acredit que a manutenc realiz nao resolv o probl,dificuldad par realiz manutença predit po melhor,oi algu pod explic faz
1297,grat prestez atend,agradec de coraça,acredit manutenc realiz nao resolv probl,estou com dificuldad par realiz a manutenc predit com po melhor isso,ola estou com dificuldades para prosseguir alguem pode me orientar
1298,nao existem palavras para descrever minha gratidao por toda ajuda,agradec coraça,nao estou conseguindo resolver meu problema sozinho,dificuldad par realiz manutenc predit poss melhor,ola dificuldades prosseguir alguem pode orientar
1299,nao existem palavras descrever gratidao toda ajuda,agradec de corac,nao conseguindo resolver problema sozinho,dificuldad realiz manutença predit po melhor,ola estou com dificuldad par prossegu algu pod me orient
1300,nao exist palavr par descrev minh gratida por tod ajud,agradec corac,nao estou consegu resolv meu problem sozinh,dificuldad realiz manutenc predit poss melhor,ola dificuldad prossegu algu pod orient
1301,nao exist palavr descrev gratida tod ajud,voce e um otimo profissional,nao consegu resolv problem sozinh,dificuldad realiz manutenc predit po melhor,ola dificuldad par prossegu algu pod orient
1302,obrigado por me ajudar a entender o problema,voce otimo profissional,nao estou consegu resolv meu probl sozinh,dificuldad par realiz manutenc predit po melhor,oi gostaria de pedir ajuda com um assunto especifico
1303,obrigado ajudar entender problema,voc e um otim profissional,nao consegu resolv probl sozinh,preciso de ajuda para solucionar um problema em meus motores eletricos,oi gostaria pedir ajuda assunto especifico
1304,obrig por me ajud a entend o problem,voc otim profissional,nao estou gostando da qualidade das peças que estao sendo utilizadas para reparar o meu equipamento,preciso ajuda solucionar problema motores eletricos,oi gost de ped ajud com um assunt especif
1305,obrig ajud entend problem,gratidao,nao gostando qualidade peças estao sendo utilizadas reparar equipamento,precis de ajud par solucion um problem em meus motor eletr,oi gost ped ajud assunt especif
1306,muito grato pela sua ajuda,gratida,nao estou gostando da qualidade da peças que estao sendo utilizadas para reparar o meu equipamento,precis ajud solucion problem motor eletr,oi alguem esta disponivel para me dar suporte tecnico
1307,muit grat pel sua ajud,ate mais meu caro,nao estou gost da qualidad das pec que esta send utiliz par repar o meu equip,precis ajud par solucion problem motor eletr,oi alguem disponivel dar suporte tecnico
1308,sinceramente agradecido pela ajuda,ate caro,nao estou gost da qualidad da pec que esta send utiliz par repar o meu equip,prec de ajud par solucion um probl em meus motor eletr,oi algu esta disponivel par me dar suport tecnic
1309,sinceramente agradecido ajuda,ate mais meu car,nao gost qualidad pec esta send utiliz repar equip,prec ajud par solucion probl motor eletr,oi algu disponivel dar suport tecnic
1310,sincer agradec pel ajud,ate car,nao gost qualidad pec send utiliz par repar equip,prec ajud solucion probl motor eletr,oi algu disponivel par dar suport tecnic
1311,sincer agradec ajud,que tudo de certo,nao estou gost da qualidad das pec que esta send utiliz par rep o meu equip,a correia da minha maquina esta desgastada como devo proceder,ei preciso de alguem que possa me dar algumas informaçoes
1312,agradeço muito pela rapidez na soluçao do problema,tudo certo,nao estou gost da qualidad da pec que esta send utiliz par rep o meu equip,correia maquina desgastada devo proceder,ei preciso alguem possa dar algumas informaçoes
1313,agradec muit pel rapidez na soluça do problem,que tud de cert,nao gost qualidad pec send utiliz par rep equip,a corr da minh maquin esta desgast com dev proced,ei precis de algu que poss me dar algum informaço
1314,muito obrigado por terem salvo meu dia,tud cert,nao gost qualidad pec send utiliz repar equip,corr maquin desgast dev proced,ei precis algu poss dar algum informaço
1315,obrigado terem salvo dia,muito obrigado pela paciencia,nao gost qualidad pec esta send utiliz rep equip,corr minh maquin desgast dev proced,ei precis de algu que po me dar algum informaço
1316,muit obrig por ter salv meu dia,obrigado paciencia,nao gost qualidad pec send utiliz rep equip,estou enfrentando problemas de umidade em meu sistema de refrigeraçao o que devo fazer,ei prec de algu que poss me dar algum informac
1317,obrig ter salv dia,muit obrig pel pacienc,nao estou conseguindo encontrar uma soluçao para meu problema,enfrentando problemas umidade sistema refrigeraçao devo fazer,ei precis algu po dar algum informaço
1318,agradeço sua orientaçao,obrig pacienc,nao conseguindo encontrar soluçao problema,estou enfrent problem de umidad em meu sistem de refrigeraça o que dev faz,ei prec de algu que po me dar algum informac
1319,agradec sua orientaça,so passei para agradecer,nao estou consegu encontr uma soluça par meu problem,enfrent problem umidad sistem refrigeraça dev faz,ei prec algu poss dar algum informac
1320,agradeço pelo atendimento de primeira qualidade,so passei agradecer,nao consegu encontr soluça problem,estou enfrent probl de umidad em meu sist de refrigerac o que dev faz,ei prec algu po dar algum informac
1321,agradeço atendimento primeira qualidade,so pass par agradec,nao consegu encontr soluça par problem,enfrent probl umidad sist refrigerac dev faz,oi estou com algumas questoes e gostaria de esclarece las
1322,agradec pel atend de primeir qualidad,so pass agradec,nao estou consegu encontr uma soluc par meu probl,ola estou com um problema na linha de produçao pode me ajudar,oi algumas questoes gostaria esclarece las
1323,agradec atend primeir qualidad,so pas par agradec,nao consegu encontr soluc par probl,ola problema linha produçao pode ajudar,oi estou com algumas questoes e gostaria de esclarece la
1324,mais uma vez agradeço pelo atendimento impecavel,so pas agradec,nao consegu encontr soluc probl,ola estou com um problem na linh de produça pod me ajud,oi estou com algum questo e gost de esclarec las
1325,vez agradeço atendimento impecavel,encerrando a conversa por aqui,nao recebi suporte adequado quando entrei em contato anteriormente,ola problem linh produça pod ajud,oi algumas questoes gostaria esclarece la
1326,mais uma vez agradec pel atend impecavel,encerrando conversa aqui,nao recebi suporte adequado entrei contato anteriormente,ola estou com um probl na linh de produc pod me ajud,oi estou com algum questo e gost de esclarec la
1327,vez agradec atend impecavel,encerr a convers por aqu,nao receb suport adequ quand entre em contat anterior,ola probl linh produc pod ajud,oi algum questo gost esclarec las
1328,obrigado pela paciencia e disposiçao em me ajudar,encerr convers aqu,nao receb suport adequ entre contat anterior,minha linha de produçao esta parada por causa de um problema como posso soluciona lo,oi algum questo gost esclarec la
1329,obrigado paciencia disposiçao ajudar,finalizando nosso bate papo,nao receb suport adequ quand contat anterior,linha produçao parada causa problema posso soluciona lo,oi estou com algum quest e gost de esclarec las
1330,obrig pel pacienc e disposiça em me ajud,finalizando bate papo,nao receb suport adequ contat anterior,minh linh de produça esta par por caus de um problem com poss solucion lo,oi estou com algum quest e gost de esclarec la
1331,obrig pacienc disposiça ajud,finaliz noss bat pap,estou insatisfeito com o tempo que esta sendo levado para solucionar meu problema,linh produça par caus problem poss solucion lo,oi algum quest gost esclarec las
1332,agradeço pela atençao dispensada,finaliz bat pap,insatisfeito tempo sendo levado solucionar problema,minh linh produça par caus problem poss solucion lo,oi algum quest gost esclarec la
1333,agradeço atençao dispensada,finaliz no bat pap,estou insatisfeit com o temp que esta send lev par solucion meu problem,minh linh de produça esta par por caus de um problem com po solucion lo,oi estou com um contratempo e preciso de orientaçoes
1334,esta tudo funcionando perfeitamente obrigado,foi bom falar com voce,insatisfeit temp send lev solucion problem,minh linh de produc esta par por caus de um probl com poss solucion lo,oi contratempo preciso orientaçoes
1335,tudo funcionando perfeitamente obrigado,bom falar voce,insatisfeit temp send lev par solucion problem,minh linh produça par caus problem po solucion lo,oi estou com um contratemp e precis de orientaço
1336,esta tud funcion perfeit obrig,foi bom fal com voc,estou insatisfeit com o temp que esta send lev par solucion meu probl,minh linh de produc esta par por caus de um probl com po solucion lo,oi contratemp precis orientaço
1337,tud funcion perfeit obrig,bom fal voc,insatisfeit temp send lev par solucion probl,minh linh produc par caus probl poss solucion lo,oi estou com um contratemp e prec de orientac
1338,agradeço pela soluçao encontrada,tenha um otimo dia pela frente,insatisfeit temp send lev solucion probl,linh produça par caus problem po solucion lo,oi contratemp prec orientac
1339,agradeço soluçao encontrada,tenha otimo dia frente,nao concordei com a cobrança realizada,linh produc par caus probl poss solucion lo,oi alguem pode me guiar no processo
1340,agradec pel soluça encontr,tenh um otim dia pel frent,nao concordei cobrança realizada,linh produc par caus probl po solucion lo,oi alguem pode guiar processo
1341,agradec soluça encontr,tenh otim dia frent,nao concord com a cobranc realiz,minh linh produc par caus probl po solucion lo,oi algu pod me gui no process
1342,a soluçao apresentada foi muito eficaz e estou muito grato,tenh otim dia pel frent,nao concord cobranc realiz,gostaria de saber qual o melhor combustivel para utilizar na minha maquina,oi algu pod gui process
1343,soluçao apresentada eficaz grato,um grande abraço,nao estou conseguindo utilizar minha maquina de forma adequada,gostaria saber melhor combustivel utilizar maquina,oi preciso de um auxilio para resolver um problema
1344,a soluça apresent foi muit eficaz e estou muit grat,grande abraço,nao conseguindo utilizar maquina forma adequada,gost de sab qual o melhor combustivel par utiliz na minh maquin,oi preciso auxilio resolver problema
1345,soluça apresent eficaz grat,um grand abrac,nao estou consegu utiliz minh maquin de form adequ,gost sab melhor combustivel utiliz maquin,oi precis de um auxili par resolv um problem
1346,muito obrigado por ter resolvido o meu problema,grand abrac,nao consegu utiliz maquin form adequ,gost sab melhor combustivel par utiliz minh maquin,oi precis auxili resolv problem
1347,obrigado ter resolvido problema,desejo tudo de bom,nao consegu utiliz minh maquin form adequ,o sistema de refrigeraçao do meu equipamento esta com problemas o que devo verificar,oi precis auxili par resolv problem
1348,muit obrig por ter resolv o meu problem,desej tud de bom,estou frustrado com a qualidade do suporte tecnico,sistema refrigeraçao equipamento problemas devo verificar,oi prec de um auxil par resolv um probl
1349,obrig ter resolv problem,va com calma,frustrado qualidade suporte tecnico,o sistem de refrigeraça do meu equip esta com problem o que dev verific,oi prec auxil par resolv probl
1350,agradecido por toda a ajuda prestada,va calma,estou frustr com a qualidad do suport tecnic,sistem refrigeraça equip problem dev verific,oi prec auxil resolv probl
1351,agradecido toda ajuda prestada,va com calm,frustr qualidad suport tecnic,o sist de refrigerac do meu equip esta com probl o que dev verific,ola estou com algumas duvidas e gostaria de obter respostas
1352,agradec por tod a ajud prest,va calm,nao estou satisfeito com o serviço prestado,sist refrigerac equip probl dev verific,ola algumas duvidas gostaria obter respostas
1353,agradec tod ajud prest,ate mais colega,nao satisfeito serviço prestado,um software que uso regularmente esta apresentando falhas como posso corrigi las,ola estou com algum duv e gost de obter respost
1354,obrigado por ter me orientado na soluçao do problema voce foi muito prestativo,ate colega,nao estou satisfeit com o servic prest,software uso regularmente apresentando falhas posso corrigi las,ola algum duv gost obter respost
